,Valor_Aluguel,Valor_Condominio,Metragem,N_Quartos,N_banheiros,N_Suites,N_Vagas
152,800,398.0,50,2,1,0,1
153,800,0.0,30,1,1,0,0
154,800,380.0,65,2,1,0,1
155,800,482.0,55,2,2,1,1
156,800,0.0,50,1,2,1,1
157,800,230.0,48,1,2,1,1
158,800,0.0,50,1,2,1,1
159,800,200.0,55,2,2,1,1
160,800,0.0,46,2,2,1,1
161,800,0.0,60,2,2,1,1
162,800,100.0,35,2,2,1,1
163,800,0.0,40,1,2,1,1
164,800,0.0,45,2,1,0,1
165,805,200.0,48,2,1,0,1
166,805,330.0,48,2,1,0,0
167,810,140.0,36,1,2,1,1
168,810,0.0,49,2,2,1,1
169,825,275.0,53,2,1,0,1
170,830,340.0,50,2,2,1,1
171,830,120.0,56,2,1,0,1
172,833,350.0,50,2,2,1,1
173,840,198.0,57,2,2,1,1
174,840,740.0,70,2,1,0,1
175,850,415.0,50,2,2,1,1
176,850,415.0,50,2,2,1,1
177,850,0.0,54,2,2,1,1
178,850,0.0,40,2,2,1,1
179,850,400.0,55,2,2,1,1
180,850,0.0,45,2,2,1,1
181,850,0.0,48,2,2,1,1
182,850,120.0,56,2,2,1,1
183,850,0.0,65,2,2,1,1
184,850,165.0,53,3,2,1,1
185,850,0.0,46,2,2,1,1
186,850,360.0,50,2,2,1,1
187,850,0.0,40,2,2,1,1
188,850,230.0,50,2,2,1,1
189,850,250.0,63,2,2,1,3
190,850,450.0,66,3,2,1,1
191,850,250.0,40,2,2,1,1
192,850,0.0,60,1,2,1,1
193,850,0.0,40,1,2,1,1
194,850,1.0,40,1,2,1,1
195,850,465.0,49,2,2,1,1
196,850,580.0,50,2,2,1,1
197,850,881.0,50,2,2,1,1
198,850,513.0,45,1,1,0,0
199,850,400.0,55,2,1,0,1
200,850,0.0,56,2,1,0,1
201,850,0.0,40,1,1,0,0
202,850,300.0,58,2,1,0,1
203,850,550.0,54,3,1,0,1
204,850,236.0,43,1,2,1,1
205,850,318.0,43,1,2,1,1
206,850,130.0,56,2,2,1,1
207,850,0.0,60,1,2,1,1
208,850,200.0,55,2,2,1,1
209,850,150.0,42,2,2,1,1
